fault_index,nid_dip,nid_strike,shear_strike,shear_dip,effective_normal,slip_rate,state_variable,state_normal,vxm,vym,vzm,vxs,vys,vzs,slips,slipd,slipn
0,1,11,1.27163130000000E+07,-2.10341054687500E+04,-2.49849320000000E+07,4.51631537723429E-10,1.95513376000000E+08,2.49849320000000E+07,2.25815463550383E-10,4.15044990437645E-26,-3.73522312255639E-13,-2.25815463550383E-10,-4.15044990437645E-26,3.73522312255639E-13,1.80759757757187E-01,-1.25516919069923E-04,-1.79104597124100E-19
0,1,12,1.27095080000000E+07,-1.66972773437500E+04,-2.49881480000000E+07,4.46659820241280E-10,1.96216688000000E+08,2.49881480000000E+07,2.23329715831611E-10,4.10429691918915E-26,-2.93402238268903E-13,-2.23329715831611E-10,-4.10429691918915E-26,2.93402238268903E-13,1.79976627230644E-01,-1.01290854217950E-04,-1.79104597124100E-19
0,1,13,1.27038660000000E+07,-1.33568251953125E+04,-2.49910780000000E+07,4.42500258657219E-10,1.96814784000000E+08,2.49910780000000E+07,2.21250004428519E-10,4.06572100462626E-26,-2.32621918689474E-13,-2.21250004428519E-10,-4.06572100462626E-26,2.32621918689474E-13,1.79310202598572E-01,-8.27416224638000E-05,-1.79104597124100E-19
0,1,14,1.26991640000000E+07,-1.08360566406250E+04,-2.49936640000000E+07,4.39016767384004E-10,1.97324240000000E+08,2.49936640000000E+07,2.19508314303063E-10,4.03344919803174E-26,-1.87304016155583E-13,-2.19508314303063E-10,-4.03344919803174E-26,1.87304016155583E-13,1.78741410374641E-01,-6.88223590259440E-05,-1.79104597124100E-19
0,1,15,1.26952210000000E+07,-8.97659179687500E+03,-2.49959000000000E+07,4.36089386823824E-10,1.97760224000000E+08,2.49959000000000E+07,2.18044637900761E-10,4.00635922150838E-26,-1.54175934172218E-13,-2.18044637900761E-10,-4.00635922150838E-26,1.54175934172218E-13,1.78252995014191E-01,-5.86254136578646E-05,-1.79104597124100E-19
0,1,16,1.26918850000000E+07,-7.64366162109375E+03,-2.49978140000000E+07,4.33612312722431E-10,1.98136624000000E+08,2.49978140000000E+07,2.16806114727852E-10,3.98346315003192E-26,-1.30571036838570E-13,-2.16806114727852E-10,-3.98346315003192E-26,1.30571036838570E-13,1.77829265594482E-01,-5.13975392095745E-05,-1.79104597124100E-19
0,1,17,1.26890250000000E+07,-6.72750976562500E+03,-2.49994420000000E+07,4.31492841457271E-10,1.98465984000000E+08,2.49994420000000E+07,2.15746392973060E-10,3.96389724254090E-26,-1.14385145235860E-13,-2.15746392973060E-10,-3.96389724254090E-26,1.14385145235860E-13,1.77456021308899E-01,-4.65377997898031E-05,-1.79104597124100E-19
0,1,18,1.26865240000000E+07,-6.14227001953125E+03,-2.50008160000000E+07,4.29650121036573E-10,1.98759632000000E+08,2.50008160000000E+07,2.14825032762711E-10,3.94690869153866E-26,-1.04009052618367E-13,-2.14825032762711E-10,-3.94690869153866E-26,1.04009052618367E-13,1.77120521664619E-01,-4.35853835369926E-05,-1.79104597124100E-19
0,1,19,1.26842780000000E+07,-5.82361914062500E+03,-2.50019640000000E+07,4.28013541275973E-10,1.99027744000000E+08,2.50019640000000E+07,2.14006742882411E-10,3.93184175639773E-26,-9.82550087298695E-14,-2.14006742882411E-10,-3.93184175639773E-26,9.82550087298695E-14,1.76811307668686E-01,-4.22037228418048E-05,-1.79104597124100E-19
0,1,20,1.26821870000000E+07,-5.72616503906250E+03,-2.50029020000000E+07,4.26520596619184E-10,1.99279616000000E+08,2.50029020000000E+07,2.13260284431804E-10,3.91811742553963E-26,-9.62896618992778E-14,-2.13260284431804E-10,-3.91811742553963E-26,9.62896618992778E-14,1.76517829298973E-01,-4.21653930970933E-05,-1.79104597124100E-19
0,1,21,1.26801580000000E+07,-5.82117968750000E+03,-2.50036340000000E+07,4.25114776714253E-10,1.99524064000000E+08,2.50036340000000E+07,2.12557360601551E-10,3.90521277046586E-26,-9.75803707043039E-14,-2.12557360601551E-10,-3.90521277046586E-26,9.75803707043039E-14,1.76230058073997E-01,-4.33406494266819E-05,-1.79104597124100E-19
0,1,22,1.26780940000000E+07,-6.09504248046875E+03,-2.50041480000000E+07,4.23742707589270E-10,1.99769696000000E+08,2.50041480000000E+07,2.11871326039059E-10,3.89263691015220E-26,-1.01857954850574E-13,-2.11871326039059E-10,-3.89263691015220E-26,1.01857954850574E-13,1.75938054919243E-01,-4.56912566733081E-05,-1.79104597124100E-19
0,1,23,1.26758870000000E+07,-6.54860156250000E+03,-2.50044160000000E+07,4.22351570383839E-10,2.00025552000000E+08,2.50044160000000E+07,2.11175757436344E-10,3.87990389395508E-26,-1.09097362491640E-13,-2.11175757436344E-10,-3.87990389395508E-26,1.09097362491640E-13,1.75631269812584E-01,-4.92709259560797E-05,-1.79104597124100E-19
