t,max_slip_rate,moment_density_rate
5.41660796e+05,-7.25573900e+00,1.21664100e+08
5.47160796e+05,-7.27536100e+00,1.20208600e+08
5.52160796e+05,-7.29383300e+00,1.19053900e+08
5.57660796e+05,-7.31680000e+00,1.17836700e+08
5.62660796e+05,-7.31739400e+00,1.16667500e+08
5.68160796e+05,-7.31764500e+00,1.15210200e+08
5.73660796e+05,-7.31962600e+00,1.13516400e+08
5.78660796e+05,-7.32384800e+00,1.11764700e+08
5.84160796e+05,-7.33257200e+00,1.09611900e+08
5.89660796e+05,-7.34746200e+00,1.07201400e+08
5.94660796e+05,-7.36808800e+00,1.04739400e+08
6.00160796e+05,-7.39675100e+00,1.01693600e+08
6.05160796e+05,-7.41047600e+00,9.86444800e+07
6.10660796e+05,-7.42253600e+00,9.51065600e+07
6.16160796e+05,-7.43613500e+00,9.15657600e+07
6.21160796e+05,-7.44945400e+00,8.84983400e+07
6.26660796e+05,-7.46475800e+00,8.54019500e+07
6.32160796e+05,-7.48038100e+00,8.26460100e+07
6.37160796e+05,-7.49460500e+00,8.04384200e+07
6.42660796e+05,-7.51006500e+00,7.83158400e+07
6.47660796e+05,-7.52381400e+00,7.66368800e+07
6.53160796e+05,-7.53849500e+00,7.50335800e+07
6.58660796e+05,-7.55264100e+00,7.36542000e+07
6.63660796e+05,-7.56499900e+00,7.25704900e+07
6.69160796e+05,-7.57802300e+00,7.15427100e+07
6.74660796e+05,-7.58541600e+00,7.06661000e+07
6.79660796e+05,-7.59116100e+00,6.99843100e+07
6.85160796e+05,-7.59699900e+00,6.93452400e+07
6.90160796e+05,-7.60189700e+00,6.88525200e+07
6.95660796e+05,-7.60688600e+00,6.83944200e+07
7.01160796e+05,-7.61154000e+00,6.80113000e+07
7.06160796e+05,-7.61557200e+00,6.77174900e+07
7.11660796e+05,-7.61992200e+00,6.74430400e+07
7.16660796e+05,-7.62394200e+00,6.72283200e+07
7.22160796e+05,-7.62863500e+00,6.70198300e+07
