t,max_slip_rate,-400,-350,-300,-250,-200,-150,-100,-50,0,50,100,150,200,250,300,350,400
0,0,-400,-350,-300,-250,-200,-150,-100,-50,0,50,100,150,200,250,300,350,400
500,-12,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10,5.0000000000000003e-10
4000,-11.58473,4.0000009999999997e-09,4.0000059999999997e-09,4.000007e-09,4.0000269999999998e-09,4.0009299999999997e-09,4.0223940000000002e-09,4.2505229999999996e-09,5.2670409999999999e-09,6.3976200000000001e-09,5.2670409999999999e-09,4.2505229999999996e-09,4.0223940000000002e-09,4.0009299999999997e-09,4.0000269999999998e-09,4.000007e-09,4.0000059999999997e-09,4.0000009999999997e-09
8000,-11.13707,8.0000069999999994e-09,8.0000289999999998e-09,8.0000379999999994e-09,8.0002910000000006e-09,8.0070680000000003e-09,8.1252710000000003e-09,9.2709480000000007e-09,1.538787e-08,2.4720060000000002e-08,1.538787e-08,9.2709480000000007e-09,8.1252710000000003e-09,8.0070680000000003e-09,8.0002910000000006e-09,8.0000379999999994e-09,8.0000289999999998e-09,8.0000069999999994e-09
12000,-10.71467,1.200002e-08,1.2000070000000001e-08,1.200012e-08,1.200132e-08,1.202443e-08,1.234783e-08,1.530144e-08,3.4463089999999998e-08,7.4334739999999993e-08,3.4463089999999998e-08,1.530144e-08,1.234783e-08,1.202443e-08,1.200132e-08,1.200012e-08,1.2000070000000001e-08,1.200002e-08
16000,-10.314410000000001,1.6000040000000001e-08,1.6000139999999999e-08,1.600034e-08,1.6004019999999999e-08,1.606049e-08,1.672961e-08,2.2629929999999999e-08,6.963674e-08,2.016674e-07,6.963674e-08,2.2629929999999999e-08,1.672961e-08,1.606049e-08,1.6004019999999999e-08,1.600034e-08,1.6000139999999999e-08,1.6000040000000001e-08
20000,-9.9336640000000003,2.000007e-08,2.0000240000000001e-08,2.000083e-08,2.0009729999999998e-08,2.012388e-08,2.1311209999999999e-08,3.161188e-08,1.331801e-07,5.1338389999999997e-07,1.331801e-07,3.161188e-08,2.1311209999999999e-08,2.012388e-08,2.0009729999999998e-08,2.000083e-08,2.0000240000000001e-08,2.000007e-08
24000,-9.5702510000000007,2.4000109999999999e-08,2.4000400000000002e-08,2.4001820000000001e-08,2.402019e-08,2.4224100000000001e-08,2.6134810000000001e-08,4.2688119999999997e-08,2.4580910000000002e-07,1.245226e-06,2.4580910000000002e-07,4.2688119999999997e-08,2.6134810000000001e-08,2.4224100000000001e-08,2.402019e-08,2.4001820000000001e-08,2.4000400000000002e-08,2.4000109999999999e-08
28000,-9.2223980000000001,2.800018e-08,2.8000660000000001e-08,2.8003660000000001e-08,2.8037550000000001e-08,2.8371369999999999e-08,3.1244789999999999e-08,5.6406259999999999e-08,4.419596e-07,2.900392e-06,4.419596e-07,5.6406259999999999e-08,3.1244789999999999e-08,2.8371369999999999e-08,2.8037550000000001e-08,2.8003660000000001e-08,2.8000660000000001e-08,2.800018e-08
32000,-8.8888149999999992,3.2000290000000002e-08,3.2001100000000002e-08,3.2006779999999999e-08,3.2064330000000001e-08,3.2576469999999998e-08,3.668832e-08,7.3446689999999996e-08,7.7812529999999999e-07,6.5188369999999997e-06,7.7812529999999999e-07,7.3446689999999996e-08,3.668832e-08,3.2576469999999998e-08,3.2064330000000001e-08,3.2006779999999999e-08,3.2001100000000002e-08,3.2000290000000002e-08
36000,-8.5688420000000001,3.6000470000000002e-08,3.6001800000000003e-08,3.6011769999999998e-08,3.6103419999999997e-08,3.6850700000000001e-08,4.251612e-08,9.4654529999999999e-08,1.346064e-06,1.4181859999999999e-05,1.346064e-06,9.4654529999999999e-08,4.251612e-08,3.6850700000000001e-08,3.6103419999999997e-08,3.6011769999999998e-08,3.6001800000000003e-08,3.6000470000000002e-08
40000,-8.2627900000000007,4.0000770000000001e-08,4.0002910000000002e-08,4.0019350000000002e-08,4.0158020000000001e-08,4.1205829999999997e-08,4.8783170000000002e-08,1.2107939999999999e-07,2.2940599999999999e-06,2.9907930000000001e-05,2.2940599999999999e-06,1.2107939999999999e-07,4.8783170000000002e-08,4.1205829999999997e-08,4.0158020000000001e-08,4.0019350000000002e-08,4.0002910000000002e-08,4.0000770000000001e-08
44000,-7.9725400000000004,4.4001269999999998e-08,4.400464e-08,4.4030419999999999e-08,4.4231670000000003e-08,4.5654159999999998e-08,5.5549720000000001e-08,1.5402560000000001e-07,3.8624880000000004e-06,6.110086e-05,3.8624880000000004e-06,1.5402560000000001e-07,5.5549720000000001e-08,4.5654159999999998e-08,4.4231670000000003e-08,4.4030419999999999e-08,4.400464e-08,4.4001269999999998e-08
48000,-7.7024020000000002,4.8002109999999997e-08,4.8007270000000001e-08,4.8046019999999999e-08,4.8328270000000001e-08,5.0208569999999998e-08,6.2882510000000004e-08,1.9511859999999999e-07,6.4471560000000003e-06,0.0001204709,6.4471560000000003e-06,1.9511859999999999e-07,6.2882510000000004e-08,5.0208569999999998e-08,4.8328270000000001e-08,4.8046019999999999e-08,4.8007270000000001e-08,4.8002109999999997e-08
52000,-7.4598550000000001,5.200346e-08,5.2011179999999999e-08,5.206746e-08,5.2452079999999998e-08,5.4882719999999999e-08,7.0856370000000001e-08,2.4639350000000002e-07,1.072098e-05,0.0002274221,1.072098e-05,2.4639350000000002e-07,7.0856370000000001e-08,5.4882719999999999e-08,5.2452079999999998e-08,5.206746e-08,5.2011179999999999e-08,5.200346e-08
56000,-7.254899,5.600561e-08,5.6016899999999999e-08,5.6096250000000002e-08,5.6607769999999999e-08,5.9691209999999996e-08,7.9556380000000003e-08,3.1042250000000001e-07,1.7881300000000001e-05,0.00040609009999999999,1.7881300000000001e-05,3.1042250000000001e-07,7.9556380000000003e-08,5.9691209999999996e-08,5.6607769999999999e-08,5.6096250000000002e-08,5.6016899999999999e-08,5.600561e-08
60000,-7.096457,6.0008930000000002e-08,6.0025090000000005e-08,6.0134199999999999e-08,6.0800479999999996e-08,6.4649779999999996e-08,8.9080030000000004e-08,3.904995e-07,3.015541e-05,0.00067683079999999996,3.015541e-05,3.904995e-07,8.9080030000000004e-08,6.4649779999999996e-08,6.0800479999999996e-08,6.0134199999999999e-08,6.0025090000000005e-08,6.0008930000000002e-08
64000,-6.9867239999999997,6.4013890000000005e-08,6.4036559999999998e-08,6.4183319999999996e-08,6.5035720000000004e-08,6.977539e-08,9.9538910000000007e-08,4.9092849999999997e-07,5.1780100000000003e-05,0.001044239,5.1780100000000003e-05,4.9092849999999997e-07,9.9538910000000007e-08,6.977539e-08,6.5035720000000004e-08,6.4183319999999996e-08,6.4036559999999998e-08,6.4013890000000005e-08
68000,-6.9183979999999998,6.8021020000000004e-08,6.805221e-08,6.824581e-08,6.9319290000000007e-08,7.5086180000000006e-08,1.110597e-07,6.1751860000000004e-07,9.0713510000000006e-05,0.001493594,9.0713510000000006e-05,6.1751860000000004e-07,1.110597e-07,7.5086180000000006e-08,6.9319290000000007e-08,6.824581e-08,6.805221e-08,6.8021020000000004e-08
72000,-6.8775370000000002,7.2030899999999999e-08,7.2073009999999996e-08,7.2324019999999999e-08,7.3657269999999996e-08,8.0601769999999996e-08,1.2378580000000001e-07,7.7854760000000002e-07,0.00016118149999999999,0.0020014260000000002,0.00016118149999999999,7.7854760000000002e-07,1.2378580000000001e-07,8.0601769999999996e-08,7.3657269999999996e-08,7.2324019999999999e-08,7.2073009999999996e-08,7.2030899999999999e-08
76000,-6.848465,7.6044209999999997e-08,7.6100110000000002e-08,7.6420569999999995e-08,7.8056210000000002e-08,8.6343959999999996e-08,1.3788180000000001e-07,9.8676589999999999e-07,0.00028638939999999999,0.0025502680000000001,0.00028638939999999999,9.8676589999999999e-07,1.3788180000000001e-07,8.6343959999999996e-08,7.8056210000000002e-08,7.6420569999999995e-08,7.6100110000000002e-08,7.6044209999999997e-08
80000,-6.8174900000000003,8.0061860000000001e-08,8.013491e-08,8.0538500000000003e-08,8.2523449999999995e-08,9.2338120000000001e-08,1.5354170000000001e-07,1.263583e-06,0.00049882419999999999,0.003137178,0.00049882419999999999,1.263583e-06,1.5354170000000001e-07,9.2338120000000001e-08,8.2523449999999995e-08,8.0538500000000003e-08,8.013491e-08,8.0061860000000001e-08
84000,-6.7763799999999996,8.4085000000000002e-08,8.4179220000000006e-08,8.468151e-08,8.7067529999999998e-08,9.8614739999999996e-08,1.7100129999999999e-07,1.647559e-06,0.00083385779999999997,0.003774454,0.00083385779999999997,1.647559e-06,1.7100129999999999e-07,9.8614739999999996e-08,8.7067529999999998e-08,8.468151e-08,8.4179220000000006e-08,8.4085000000000002e-08
88000,-6.7257740000000004,8.811513e-08,8.8235290000000002e-08,8.8853999999999996e-08,9.1698449999999996e-08,1.0521060000000001e-07,1.905526e-07,2.211134e-06,0.0013163809999999999,0.0044834649999999998,0.0013163809999999999,2.211134e-06,1.905526e-07,1.0521060000000001e-07,9.1698449999999996e-08,8.8853999999999996e-08,8.8235290000000002e-08,8.811513e-08
91956.345833333005,-6.6714950000000002,9.2109940000000003e-08,9.2261309999999994e-08,9.3014949999999993e-08,9.6375490000000005e-08,1.120914e-07,2.123053e-07,3.0817469999999999e-06,0.001943546,0.0052743110000000003,0.001943546,3.0817469999999999e-06,2.123053e-07,1.120914e-07,9.6375490000000005e-08,9.3014949999999993e-08,9.2261309999999994e-08,9.2109940000000003e-08
95536.916666667006,-6.6263329999999998,9.5734420000000004e-08,9.5919619999999999e-08,9.6814649999999998e-08,1.007023e-07,1.186682e-07,2.344491e-07,4.3603460000000004e-06,0.0026365389999999998,0.0060798960000000004,0.0026365389999999998,4.3603460000000004e-06,2.344491e-07,1.186682e-07,1.007023e-07,9.6814649999999998e-08,9.5919619999999999e-08,9.5734420000000004e-08
